Year,Population,Growth Rate
2023,172954319,1.03%
2022,171186372,1.08%
2021,169356251,1.16%
2020,167420951,1.15%
2019,165516222,1.12%
2018,163683958,1.17%
2017,161793964,1.26%
2016,159784568,1.24%
2015,157830000,1.20%
2014,155961299,1.25%
2013,154030139,1.28%
2012,152090649,1.25%
2011,150211005,1.23%
2010,148391139,1.15%
2009,146706810,0.88%
2008,145421318,0.89%
2007,144135934,1.06%
2006,142628831,1.22%
2005,140912590,1.53%
2004,138789725,1.68%
2003,136503206,1.76%
2002,134139826,1.88%
2001,131670484,1.92%
2000,129193327,1.92%
1999,126754824,1.93%
1998,124350471,1.89%
1997,122039226,1.80%
1996,119876868,1.77%
1995,117793338,1.88%
1994,115614891,1.94%
1993,113418757,1.93%
1992,111272102,1.86%
1991,109242834,1.96%
1990,107147651,2.15%
1989,104893674,2.15%
1988,102688833,2.19%
1987,100490256,2.26%
1986,98271746,2.41%
1985,95959099,2.59%
1984,93534239,2.73%
1983,91045478,2.81%
1982,88555336,2.79%
1981,86154836,2.65%
1980,83929765,2.47%
1979,81908151,2.38%
1978,80007550,2.39%
1977,78137788,2.30%
1976,76380080,2.25%
1975,74700345,2.40%
1974,72947807,2.53%
1973,71144818,2.59%
1972,69346705,1.42%
1971,68376204,1.24%
1970,67541860,2.54%
1969,65866908,2.92%
1968,63995652,3.05%
1967,62104488,3.05%
1966,60265259,3.02%
1965,58500159,3.04%
1964,56774465,3.05%
1963,55094115,3.05%
1962,53461661,3.04%
1961,51882769,2.95%
1960,50396429,2.84%
1959,49004963,2.64%
1958,47742791,2.54%
1957,46560522,2.54%
1956,45407666,2.46%
1955,44315548,2.39%
1954,43282032,2.25%
1953,42329279,2.18%
1952,41426885,2.17%
1951,40548590,2.06%
1950,39728535,0.00%
